{'reviewerId': '4EPNZgN1YLB3VInF92UdBg', 'rank': 0.0001}
{'reviewerId': 'ESYyJ0jAhUbhuih1_TBetQ', 'rank': 0.0067}
{'reviewerId': '2t0RKGyolWss7ZpszBmNtQ', 'rank': 0.0069}
{'reviewerId': 'ljw-HpE8ofaWh9HCmQJ1hg', 'rank': 0.0079}
{'reviewerId': 'h9fDxlf10xNwmi9zKPnYFg', 'rank': 0.0079}
{'reviewerId': '2_sDcUKMy3wRELuKH2EGmg', 'rank': 0.0095}
{'reviewerId': 'nzsv-p1O8gCfP3XijfQrIw', 'rank': 0.0097}
{'reviewerId': 'eyjhVMPb-jzshQVJ5YB-6g', 'rank': 0.0104}
{'reviewerId': 'g2oseja9mnTSA8Qq7GXqBg', 'rank': 0.0104}
{'reviewerId': '4YZ-mpXV1c1I1Xh6vFctmQ', 'rank': 0.0104}
{'reviewerId': 'wpr6gw4FnptTrk1CeT8POg', 'rank': 0.0104}
{'reviewerId': '0r-GI6qXs51qNsvQIxV_Ow', 'rank': 0.0104}
{'reviewerId': '0ltmHwUQuQde4me8DII0sw', 'rank': 0.0104}
{'reviewerId': '94b0y-FFFIF8hy3SJgXd-g', 'rank': 0.0104}
{'reviewerId': 'Odj7rHyVCq2n-YT3Q9Sppw', 'rank': 0.0111}
{'reviewerId': 'u7Uv97_feX1iiATbf_BCyQ', 'rank': 0.0113}
{'reviewerId': 'EU2V6NOtkDkMtbIJEeEjzw', 'rank': 0.0118}
{'reviewerId': '6WfLJ5rmFrGOsNS7cKo5Mg', 'rank': 0.0122}
{'reviewerId': 's4ONHiGmp0JItIa9d7iyVw', 'rank': 0.0122}
{'reviewerId': 'RWIuUNWFYYWS2tbQ6VzKJg', 'rank': 0.0122}
{'reviewerId': 'Fz3y-d7Ru7wMRnPuwG-OLA', 'rank': 0.0122}
{'reviewerId': 'vVda7c6O4AFKaOQo7h7exw', 'rank': 0.0122}
{'reviewerId': 'kgHcYU5dZRgwZQFoVrzNnA', 'rank': 0.0122}
{'reviewerId': '7liab56Gu9WIiqB0xtSXPA', 'rank': 0.0122}
{'reviewerId': 'Xj0O2l0bp633ebmG468aZw', 'rank': 0.0124}
{'reviewerId': '2RKfUSVZBeTJ-_X9bmGmKQ', 'rank': 0.0133}
{'reviewerId': 'Q03Bhc_EANf9JqEwI5wR9g', 'rank': 0.0136}
{'reviewerId': 'g2YnG8VUb9opaWF6fx6viQ', 'rank': 0.0136}
{'reviewerId': '7e4CioqxGMByqh0lJP5FZg', 'rank': 0.0136}
{'reviewerId': 'Nq6IDrsjcwAZTB0SPp7K9A', 'rank': 0.0138}
{'reviewerId': 'iUeZhkI0OK0BisakOkb3pQ', 'rank': 0.0138}
{'reviewerId': 'zT0PuDsIV-S7M-W_NaX9vw', 'rank': 0.014}
{'reviewerId': 'r7kbJcKqJ3dJ3TYevNVIRA', 'rank': 0.0142}
{'reviewerId': 'X2QjPg0MgLzzFDYZ77N2fg', 'rank': 0.0143}
{'reviewerId': 'aJEZeCZEbT26XWjMWMJx1A', 'rank': 0.0143}
{'reviewerId': 'g2pjJLw2362ne09i2xjgoQ', 'rank': 0.0144}
{'reviewerId': '6RJBeJlbDGrZO91Qc2NG9A', 'rank': 0.0149}
{'reviewerId': '7clk7hJlh9U5Kkwq7IGLEw', 'rank': 0.0156}
{'reviewerId': 'RjaLd1MuAYlwZkRG3lxczQ', 'rank': 0.016}
{'reviewerId': '5YuDY34-hPFO3phFe_Ml2A', 'rank': 0.0166}
{'reviewerId': 'KeZjKwMbqPU2qQO7oGgWLw', 'rank': 0.0167}
{'reviewerId': 'YPuefjfa8t8rI0Cu2D3zJQ', 'rank': 0.0167}
{'reviewerId': '-N4TFDLLlHmg73u8Vgs1lQ', 'rank': 0.0168}
{'reviewerId': 'YVUxUIae-d7qBwsdlbRI0Q', 'rank': 0.017}
{'reviewerId': 'xPE3z3YRe2CWKyYjjICneQ', 'rank': 0.017}
{'reviewerId': 'R2shatkK9JCeyB7D5FBuiw', 'rank': 0.0171}
{'reviewerId': 'nZcvhWmyQ73TiFDxyGmuAQ', 'rank': 0.0172}
{'reviewerId': 'gNjVQuHiGgTTWTIU8mOsFQ', 'rank': 0.0172}
{'reviewerId': '5L0eiAkoQIVvI_XOjzhFpA', 'rank': 0.0182}
{'reviewerId': 'eeemUU0oFchyKC4xL2-1pQ', 'rank': 0.0191}
