{'reviewerId': 'Bs-YIZ4KwRv5g7UfDkJdug', 'rank': 0.0001}
{'reviewerId': 'N8mlSuqJcfW9eAYoCdoQxg', 'rank': 0.0001}
{'reviewerId': 'abBY31ZPfEX9jdP-NNptjw', 'rank': 0.0001}
{'reviewerId': 'p81PsfykFcVczr1B0T0zfQ', 'rank': 0.0001}
{'reviewerId': 'kORGcgi0Iw2RG8gJl84MVA', 'rank': 0.0001}
{'reviewerId': '_Sv2sjH4W5pkwKAC8rfSxw', 'rank': 0.0001}
{'reviewerId': 'nkN_do3fJ9xekchVC-v68A', 'rank': 0.004}
{'reviewerId': 'Odj7rHyVCq2n-YT3Q9Sppw', 'rank': 0.0072}
{'reviewerId': 'gNjVQuHiGgTTWTIU8mOsFQ', 'rank': 0.0074}
{'reviewerId': 'LSIysddXyTlkMR8RbVlofA', 'rank': 0.0077}
{'reviewerId': 'd-Esnujp9CpNWOC7rKPMDg', 'rank': 0.0077}
{'reviewerId': 'InWfchzutCtJRbUBpYKtSQ', 'rank': 0.0077}
{'reviewerId': 'nRgnPH741Xti-7lD7dL2lA', 'rank': 0.0077}
{'reviewerId': 'CS6JY1Ts0AiWFU61QaC1nA', 'rank': 0.0077}
{'reviewerId': 'FJbrnaXwVmgGJTk1xd2jwA', 'rank': 0.0077}
{'reviewerId': 'xL4EOIKW6ZRM06T1lMjb_w', 'rank': 0.0077}
{'reviewerId': 'YVUxUIae-d7qBwsdlbRI0Q', 'rank': 0.0081}
{'reviewerId': 'mr70FAgn7ETndmzt0-h5cA', 'rank': 0.0088}
{'reviewerId': 'QgXE9ZlVRkJQ9HWatwHfQw', 'rank': 0.0088}
{'reviewerId': 'ndJAe6HWsRRpvM-8SKegXA', 'rank': 0.009}
{'reviewerId': 'VnlUnPrfae-fbqDoXuvDbw', 'rank': 0.009}
{'reviewerId': 'BI4lPhrUpmEySIJUywjIjQ', 'rank': 0.009}
{'reviewerId': 'XPOx-mCubVGQ1rRknztFtw', 'rank': 0.009}
{'reviewerId': 'NopvY71aQt7jt5PXFTUOBQ', 'rank': 0.009}
{'reviewerId': '7clk7hJlh9U5Kkwq7IGLEw', 'rank': 0.0091}
{'reviewerId': '7ipk2ANEytGgbehLPOIWiA', 'rank': 0.0098}
{'reviewerId': 'sw4qHUZaPGTs5AUndiTRqw', 'rank': 0.0098}
{'reviewerId': 'ljw-HpE8ofaWh9HCmQJ1hg', 'rank': 0.0098}
{'reviewerId': 'OGV40r9v4MZ7r2gwkutNbw', 'rank': 0.0099}
{'reviewerId': 'pta3o1-YBG8LYpyR3EDq_w', 'rank': 0.0099}
{'reviewerId': 'ST_ktBG-gllUs7AcEq6dJQ', 'rank': 0.01}
{'reviewerId': 'koOGzXxh5nQqEIwI_IJUew', 'rank': 0.0101}
{'reviewerId': '_ueX3a8lqk7WPklhrH6cyg', 'rank': 0.0104}
{'reviewerId': 'h9fDxlf10xNwmi9zKPnYFg', 'rank': 0.0104}
{'reviewerId': 'g2pjJLw2362ne09i2xjgoQ', 'rank': 0.0105}
{'reviewerId': 'Xj0O2l0bp633ebmG468aZw', 'rank': 0.0108}
{'reviewerId': 'U11TV1lxynwDLonw4Ofk4w', 'rank': 0.0109}
{'reviewerId': '64o6vJrByaGTStMvvU45JQ', 'rank': 0.0109}
{'reviewerId': 'EwuRpRPAuigEqAf3FtOcJw', 'rank': 0.011}
{'reviewerId': 'YhJ0B0mL4gaPDOYFYiL5IQ', 'rank': 0.0111}
{'reviewerId': 'nZcvhWmyQ73TiFDxyGmuAQ', 'rank': 0.0111}
{'reviewerId': '1XlzcRWcpismkK9rIjh14g', 'rank': 0.0112}
{'reviewerId': 'khPkVSgyTqPxi-tscd6cDw', 'rank': 0.0113}
{'reviewerId': 'pvIPGu_9dBnDb5LBcSBFNA', 'rank': 0.0113}
{'reviewerId': 'dwKn2xeY8o1b2JEuFsW-CQ', 'rank': 0.0117}
{'reviewerId': '76h0Dl1yJ7Q-VSqnUor3ew', 'rank': 0.0117}
{'reviewerId': 'Nq6IDrsjcwAZTB0SPp7K9A', 'rank': 0.0118}
{'reviewerId': 'r51qFzP8T5CiM3in8Mb30g', 'rank': 0.0119}
{'reviewerId': 'u_Eb0Q5ZN_bx868pHMy6Tg', 'rank': 0.0119}
{'reviewerId': 'W3hntNgAgCDcW9M6efLHIQ', 'rank': 0.0122}
{'reviewerId': '3Sb7RCcLmROA2BE11GJGCw', 'rank': 0.0124}
{'reviewerId': 'Dusf4Ix67-c2BN57hFwqFg', 'rank': 0.0125}
{'reviewerId': 'GXn4ZsasLKh0qZ5g3nIqcQ', 'rank': 0.0126}
{'reviewerId': '9rnVCQuY9zzqAn1x5DQW_A', 'rank': 0.0126}
{'reviewerId': 'wm273pm4YDgE5AtSeSdZkw', 'rank': 0.0127}
{'reviewerId': '2RKfUSVZBeTJ-_X9bmGmKQ', 'rank': 0.0127}
{'reviewerId': '3Ttx_EwurF4tVRn723SIjw', 'rank': 0.013}
{'reviewerId': 'zT0PuDsIV-S7M-W_NaX9vw', 'rank': 0.0131}
{'reviewerId': 'c6HT44PKCaXqzN_BdgKPCw', 'rank': 0.0131}
{'reviewerId': 'PE9O_0g044eb2KCHow02dg', 'rank': 0.0135}
{'reviewerId': '6WfLJ5rmFrGOsNS7cKo5Mg', 'rank': 0.0136}
{'reviewerId': 'g2YnG8VUb9opaWF6fx6viQ', 'rank': 0.0137}
{'reviewerId': 'F0B1t6Nnrb97T_UUjoxkzg', 'rank': 0.014}
{'reviewerId': 'jzH04vzXw5xs4sxAUWFohg', 'rank': 0.0142}
{'reviewerId': 'bTgNsBtBY0Wqs2rAiZ9Chw', 'rank': 0.0142}
{'reviewerId': 'J6VhxG9cLqn2VX-8vheNZg', 'rank': 0.0142}
{'reviewerId': 'npCUdiDUBmf5qVYDbIpRyg', 'rank': 0.0142}
{'reviewerId': '45TD1CEI0MoMs-g7P9mljg', 'rank': 0.0142}
{'reviewerId': 'XCsZ3hWa_6oP1WkWvK7pmg', 'rank': 0.0142}
{'reviewerId': 'NYzfldZQVAWJk8p1vLgOcQ', 'rank': 0.0142}
{'reviewerId': 'yXnuorbaYG5N5SbERJ4m-Q', 'rank': 0.0142}
