{'reviewerId': 'rY8zJoH5xf8s5jO3HFoGZw', 'rank': 0.0001}
{'reviewerId': 'FRfaOTiR5fZFEsq6aRQ52A', 'rank': 0.0001}
{'reviewerId': 'FQ96S98mbpYIGQ3jAvyGRw', 'rank': 0.0001}
{'reviewerId': 'TcVn8ClOqF4oYXtnVJ7s3Q', 'rank': 0.0001}
{'reviewerId': '_BHTC7nyCBoZcfiiD5cOXg', 'rank': 0.001}
{'reviewerId': 'G5LXEaxhQMF_BVjNHkVr7g', 'rank': 0.0028}
{'reviewerId': 'FH79bierETA44QEW86mx1g', 'rank': 0.0062}
{'reviewerId': 'Vgxyd-HuA0mGr4t2OueJ7g', 'rank': 0.0062}
{'reviewerId': '0K0IRhsbZd-V2cp_94PHIQ', 'rank': 0.0062}
{'reviewerId': 'mZokz37TaR5jFgMrx4WyFw', 'rank': 0.0062}
{'reviewerId': 'VRNF7v9PRqnfU3XpNmRxpQ', 'rank': 0.0062}
{'reviewerId': '_0piNXf9GHp0G3cD2gwQKQ', 'rank': 0.0062}
{'reviewerId': 'M3KIw72lp5CNxLfPaPJnlw', 'rank': 0.0062}
{'reviewerId': 'cvzKVWaGFysF1iZ1RUvsBg', 'rank': 0.0062}
{'reviewerId': 'LBTp89k-qNO4UY5-zsI7nw', 'rank': 0.0073}
{'reviewerId': 'sboKTkDuAvdGAj8LQIaddQ', 'rank': 0.0073}
{'reviewerId': 'feJ8uK3K7YNV0-88eYZX-Q', 'rank': 0.0073}
{'reviewerId': 'EzRd6jmBYxL_G_SaE-xdvQ', 'rank': 0.0073}
{'reviewerId': 'p8w_DRU96tNeK6xL8dcptg', 'rank': 0.0073}
{'reviewerId': 'HLaSqQMDVvlcFPGJL_kGCA', 'rank': 0.0073}
{'reviewerId': 'eCcjxh8zjAqn-kZVWZ_HJQ', 'rank': 0.0074}
{'reviewerId': 'GBvBDAu1KGXRkQpbymXGqQ', 'rank': 0.0074}
{'reviewerId': 'gjhzKWsqCIrpEd9pevbKZw', 'rank': 0.0075}
{'reviewerId': 'BP-PhtILS68hOkjQGcUKqg', 'rank': 0.0076}
{'reviewerId': 'oavPd3eVwL0N8Y4t3WvrBw', 'rank': 0.0088}
{'reviewerId': 'VPINiUt71jfnBkGcf-XX_A', 'rank': 0.0088}
{'reviewerId': '2EHRvAkAkJ1WR1TCzqB4tg', 'rank': 0.0089}
{'reviewerId': 'VAk1j8_7s7c2azur5JwhBQ', 'rank': 0.0093}
{'reviewerId': '5IX9FOesKrLRyz618xc6tw', 'rank': 0.0094}
{'reviewerId': '6IJvrFm0X3OTy6HoDWaLpg', 'rank': 0.0094}
{'reviewerId': 'veoCLwTLB9pOrFnxNNRwlw', 'rank': 0.0095}
{'reviewerId': 'bgRoSGcm0mlJwBzucS3V7w', 'rank': 0.0098}
{'reviewerId': 'slo84WZMJ3qNJHACPwIeZw', 'rank': 0.0098}
{'reviewerId': 'ZZ1iiAsRJfSBCxzJ6AEL2Q', 'rank': 0.0099}
{'reviewerId': '32sxRjdlvBsQRiwuGQUeXQ', 'rank': 0.0099}
{'reviewerId': 'Mu6wz7_d6OBgRqkl4_NaXw', 'rank': 0.0101}
{'reviewerId': 'Bf87HcPERF9yiSjb2tQBqw', 'rank': 0.0101}
{'reviewerId': 'M5eUNWQMrpHu8Hne1HzeJA', 'rank': 0.0101}
{'reviewerId': 'bF4BjnRuQdlL0MVYrSMLIw', 'rank': 0.0102}
{'reviewerId': '5L0eiAkoQIVvI_XOjzhFpA', 'rank': 0.0103}
{'reviewerId': 'znQHO86C1vfdSjztEKYivA', 'rank': 0.0104}
