{'reviewerId': 'gjhzKWsqCIrpEd9pevbKZw', 'rank': 0.0001}
{'reviewerId': '6G4Ho6jBuaSmKAOZui8zjg', 'rank': 0.0017}
{'reviewerId': '8cSjUtTsDbhrOXdTnDG7FA', 'rank': 0.0017}
{'reviewerId': 'IBCpXWbhwMn2o20yJ6FVDA', 'rank': 0.0017}
{'reviewerId': 'E5MwIwYX-bJnslhVMPko3w', 'rank': 0.0017}
{'reviewerId': 'OlhH_-yyVWU6jj8H2TMSiQ', 'rank': 0.0018}
{'reviewerId': 'IDVX4Is4CanREchBmpFXoA', 'rank': 0.0028}
{'reviewerId': 'G5LXEaxhQMF_BVjNHkVr7g', 'rank': 0.0029}
{'reviewerId': '_BHTC7nyCBoZcfiiD5cOXg', 'rank': 0.0031}
{'reviewerId': '-3k65IY08ckDcOGQmf8BDg', 'rank': 0.0034}
{'reviewerId': 'qdieS2KVqTBO_9LcCVwWzQ', 'rank': 0.0034}
{'reviewerId': 'fcR0tYEFN00Xtoodv37-kw', 'rank': 0.0035}
{'reviewerId': 'Zy0Y9W7nPtri3pQ-ErwpGg', 'rank': 0.0036}
{'reviewerId': '2qcCs023bxjqtnE5Z6w4uQ', 'rank': 0.0036}
{'reviewerId': 'yJsv2VacazKXMxLbAmKN-Q', 'rank': 0.0042}
{'reviewerId': 'S2CC2Fg4RU4F1Ov9BFhdNA', 'rank': 0.0042}
{'reviewerId': 'Dpyal9p7-E1HJgcRixQLdg', 'rank': 0.0043}
{'reviewerId': '6veSoRwdfGBjxigxV91BsQ', 'rank': 0.0044}
{'reviewerId': '9oMUrPv_LcAZ5ejDFH6NkQ', 'rank': 0.0046}
{'reviewerId': '-M60YHATVAQ5J_e0m3y99Q', 'rank': 0.0046}
{'reviewerId': 'E0ZywLUXqSrHbcLo9tGF_g', 'rank': 0.0046}
{'reviewerId': 'JMzOET-yd7reUXz3OWJaFA', 'rank': 0.0046}
{'reviewerId': '4uscIP7YDERJG9oxEFed3w', 'rank': 0.0046}
{'reviewerId': 'FXq8ghdbmNZSHIafPGnA7g', 'rank': 0.0046}
{'reviewerId': 'gu_ZuScoEejoDgjdnzhVoA', 'rank': 0.0046}
{'reviewerId': 'LNHtt3ydkZ14D2ZXXs6Gxg', 'rank': 0.0046}
{'reviewerId': 'h21Cbrn7eWdqwFQOyNpGHg', 'rank': 0.0046}
{'reviewerId': 'wn98_KxFkkO85qz4vc6PpQ', 'rank': 0.0046}
{'reviewerId': 'LsdCccPySObaCcvtdyeOCQ', 'rank': 0.0046}
{'reviewerId': 'b5xky1NsvoaUK4ScJT695g', 'rank': 0.0046}
{'reviewerId': 'j2iej-vSvtJmb_W-JdC3aQ', 'rank': 0.0046}
{'reviewerId': 'TDXV6AC5PYOZEyN9eeODfA', 'rank': 0.0046}
{'reviewerId': 'QmMWh64EJE9N64JOBFZJyw', 'rank': 0.0046}
{'reviewerId': 'Vsw-sH1grKGlbMyh19zw1g', 'rank': 0.0046}
{'reviewerId': 'Nlfemj273YV_Ro3dwep8Kw', 'rank': 0.0046}
{'reviewerId': '39wLHl_FGN3_fWYn1JOC1g', 'rank': 0.0046}
{'reviewerId': '2QzIcs_QUAUMH8h2rcF7SA', 'rank': 0.0046}
{'reviewerId': 'lV0TGQufw-draFAWiawdSQ', 'rank': 0.0046}
{'reviewerId': 'lqOh3O7d9e3HMM-N_Kr2jA', 'rank': 0.0046}
