{'reviewerId': 'G5LXEaxhQMF_BVjNHkVr7g', 'rank': 0.0001}
{'reviewerId': 'qD51vvp5Zf5DgPEGy7yfDQ', 'rank': 0.0011}
{'reviewerId': 'Mu6wz7_d6OBgRqkl4_NaXw', 'rank': 0.0014}
{'reviewerId': 'XHuNSjrPA3Vyi7n4iVhZaQ', 'rank': 0.002}
{'reviewerId': 'IDVX4Is4CanREchBmpFXoA', 'rank': 0.0021}
{'reviewerId': 'BI4lPhrUpmEySIJUywjIjQ', 'rank': 0.0022}
{'reviewerId': 'sRVGewx--HgwwlKwAfCO9Q', 'rank': 0.0022}
{'reviewerId': 'nkN_do3fJ9xekchVC-v68A', 'rank': 0.0024}
{'reviewerId': 'awmRirDC7WWig6R07XZ_oA', 'rank': 0.0024}
{'reviewerId': 'P5bUL3Engv-2z6kKohB6qQ', 'rank': 0.0027}
{'reviewerId': 'B7ecAeAIrXg7sgmabS38pg', 'rank': 0.0027}
{'reviewerId': 'NN5jldDW0Puf8E3ZZjKqsg', 'rank': 0.0028}
{'reviewerId': 'gjhzKWsqCIrpEd9pevbKZw', 'rank': 0.003}
{'reviewerId': 'fa3P8dibTRU8QG-XwVMigw', 'rank': 0.003}
{'reviewerId': 'VHdY6oG2JPVNjihWhOooAQ', 'rank': 0.0032}
{'reviewerId': 'nzsv-p1O8gCfP3XijfQrIw', 'rank': 0.0032}
{'reviewerId': 'Xj0O2l0bp633ebmG468aZw', 'rank': 0.0033}
{'reviewerId': 'vWpe19iYR30nE8JvBtjwKg', 'rank': 0.0033}
{'reviewerId': 'pUopzKhcjsOALWhE2nbKbA', 'rank': 0.0034}
{'reviewerId': 'WznKewel_4HYcZMEPqR6jQ', 'rank': 0.0035}
{'reviewerId': '5pBi1CSpm9467jh7PSBDkA', 'rank': 0.0036}
{'reviewerId': '4f7DPAvTm8oF9_ZJ_EKBCg', 'rank': 0.0036}
{'reviewerId': 'eCcjxh8zjAqn-kZVWZ_HJQ', 'rank': 0.0036}
{'reviewerId': 'e2LzJZEIrKmSSLbTM9zpFg', 'rank': 0.0037}
{'reviewerId': '53bZ_EsXH71L7iFs5MP9_w', 'rank': 0.0037}
{'reviewerId': 'fcR0tYEFN00Xtoodv37-kw', 'rank': 0.0038}
{'reviewerId': 'HFepzBAd1WF9nQxX0CprNA', 'rank': 0.0038}
{'reviewerId': 'eOCzLiZqtZLjcQDocPm7Lw', 'rank': 0.0038}
{'reviewerId': '-6UQ0TkCpPOda3XzpYZuwQ', 'rank': 0.0039}
{'reviewerId': 'Hxqhwp9L1c0Q7QpX6n0hiw', 'rank': 0.0039}
{'reviewerId': 'WBXb6PM3tcP9qXHpaNHUvQ', 'rank': 0.0039}
{'reviewerId': '3tCCjRLxIsQB7vdhzBCiXw', 'rank': 0.0039}
{'reviewerId': 'IHOCvB0ZZ9_pLx509U3tpw', 'rank': 0.0039}
{'reviewerId': 'zFlTIe9yBysrVMH5hAsMcQ', 'rank': 0.0039}
{'reviewerId': 'Qfl8pEEiDYVWWURM8Zmbhg', 'rank': 0.0039}
{'reviewerId': 'OlUOBjDJUCmJDNLjBwyI4Q', 'rank': 0.0039}
{'reviewerId': 'g2YnG8VUb9opaWF6fx6viQ', 'rank': 0.0039}
{'reviewerId': 'TEtzbpgA2BFBrC0y0sCbfw', 'rank': 0.0039}
{'reviewerId': 'QXAkmRjGJvLg3fX65A9oNQ', 'rank': 0.0039}
{'reviewerId': 'weCeiXxZBhBY5mX9y6jS1A', 'rank': 0.0039}
{'reviewerId': 'sU3HYRrljZcuSl1JxTmTsA', 'rank': 0.004}
{'reviewerId': 'om5ZiponkpRqUNa3pVPiRg', 'rank': 0.004}
{'reviewerId': 'lrvBE5PMCkvylXGSOJMsSA', 'rank': 0.004}
{'reviewerId': 'm5cBT7OYfn0HM0d-RCsdZQ', 'rank': 0.004}
{'reviewerId': '-Tj4e-zW67MXj9Z7-Zkzpw', 'rank': 0.004}
{'reviewerId': 'Ez5XvlmwbZaUaKf8lp6fUw', 'rank': 0.0041}
{'reviewerId': 'XTyB95EyMYfZoAPsslLp4Q', 'rank': 0.0041}
{'reviewerId': 'pOsSRzm0ZOXE9FcJ5pWxYg', 'rank': 0.0041}
{'reviewerId': 'MizlaDrXhL99TrWWXXkO5Q', 'rank': 0.0041}
{'reviewerId': '2JIq3zlcBmFDRpcwy26q_Q', 'rank': 0.0041}
{'reviewerId': 'l0I8QAnHJoLhEozrFilONg', 'rank': 0.0041}
{'reviewerId': 'zwGwWcqYVnaF0ZJVuPG-ag', 'rank': 0.0042}
{'reviewerId': 'rMNPcAVo5Jpm55Sm68eQ2Q', 'rank': 0.0042}
{'reviewerId': 'nGIeDNFEvxZ2PzamApUVFQ', 'rank': 0.0042}
{'reviewerId': 'rt3PC7WCgCKsoufmQJELfw', 'rank': 0.0042}
{'reviewerId': 'm07sy7eLtOjVdZ8oN9JKag', 'rank': 0.0042}
{'reviewerId': '_BHTC7nyCBoZcfiiD5cOXg', 'rank': 0.0042}
{'reviewerId': 'eurIEcpGa_tTi1LMWa1pUA', 'rank': 0.0042}
{'reviewerId': 'FVWL31cQvOp3mO2fi5WlOA', 'rank': 0.0042}
{'reviewerId': 'fdVCBVz4VWLo2bMbPsco9Q', 'rank': 0.0042}
{'reviewerId': 'oA4ompknoW6XrONKYXQ_jQ', 'rank': 0.0042}
{'reviewerId': 'ZPltEHo7hPz-LRYPCZKqhQ', 'rank': 0.0043}
{'reviewerId': 'wEH0nAiGFDIhlveBI5pU2w', 'rank': 0.0043}
{'reviewerId': 'J3pXjuQLVOMBFjqsviy2pw', 'rank': 0.0043}
{'reviewerId': 'k_TAh4ZXJY-5OTSu0gbOfA', 'rank': 0.0043}
{'reviewerId': '6qlkQhQFpuX7WXboTv9-dA', 'rank': 0.0043}
{'reviewerId': '6Ba_IVRAqEXTLKVXE5nv5Q', 'rank': 0.0043}
