{'reviewerID': 'UqNSytSc3hiYfKVCGwvLCg', 'rate_deviation': 0.0817, 'first_time': 0.0001, 'burstiness': 0.15, 'content_similarity': 0.2553}
{'reviewerID': 'RV1wQ7HxI60DkMJPPLa5hg', 'rate_deviation': 0.2056, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.0001}
{'reviewerID': 'TiGhjg0NNQcpV1lOYuIsXA', 'rate_deviation': 0.0715, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'NwzaQ_xzOoqw7EFNLz35tw', 'rate_deviation': 0.1501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'BQ73YHpyADiz-Wf1OQ0EPg', 'rate_deviation': 0.2001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'FsK9tLRG77y49bNmPYssWg', 'rate_deviation': 0.2001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'dYUsY1q6VISy46Q1hxQeBA', 'rate_deviation': 0.2, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.0467}
{'reviewerID': '-YldR077YHNelbmw9ZHbnA', 'rate_deviation': 0.0778, 'first_time': 0.0001, 'burstiness': 0.15, 'content_similarity': 0.1116}
{'reviewerID': 'oy-pJ_bKzAHoJDMcYxOXJg', 'rate_deviation': 0.0501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'XeFa-rKwzcD-Y2tLSxefKw', 'rate_deviation': 0.1376, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'Z6X8gcVu4ANyXFRdefTaxw', 'rate_deviation': 0.0001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'i0FpqZC8_uQeYzpI7kMpuA', 'rate_deviation': 0.1334, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'mt2iRTdj1Ej48S98Q5aLGw', 'rate_deviation': 0.0001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'Ardg5LcOx_ryZYvXIXvr9g', 'rate_deviation': 0.1159, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '4As_fxtLA7eokT45qTuQCA', 'rate_deviation': 0.1501, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': 'zR2iAdGWaqN2dq4O-jBZBA', 'rate_deviation': 0.2667, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.1581}
{'reviewerID': '4yUd-vuVC6Tcp7wsS6uTyA', 'rate_deviation': 0.0575, 'first_time': 0.0001, 'burstiness': 0.1, 'content_similarity': 0.0001}
{'reviewerID': '3N4C5ihSK84egbSsGEKxOg', 'rate_deviation': 0.0834, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
{'reviewerID': '53iWw3bh2xUBzmSywHDqaw', 'rate_deviation': 0.1001, 'first_time': 0.0001, 'burstiness': 0.05, 'content_similarity': 0.0001}
