{'reviewerId': 'E1jR_BAfdiBVw5bgbwwR6A', 'rank': 0.0001}
{'reviewerId': 'r7kbJcKqJ3dJ3TYevNVIRA', 'rank': 0.0061}
{'reviewerId': 'GXn4ZsasLKh0qZ5g3nIqcQ', 'rank': 0.0075}
{'reviewerId': 'L4C5O0Hjil0Py_Doj7ZuvQ', 'rank': 0.0075}
{'reviewerId': 'cFDxOy6Wr1vgal_RQRK5Cw', 'rank': 0.0142}
{'reviewerId': 'nkN_do3fJ9xekchVC-v68A', 'rank': 0.0142}
{'reviewerId': 'PE9O_0g044eb2KCHow02dg', 'rank': 0.0165}
{'reviewerId': 'AJmUkS2J_HVr-HTUoFTxrw', 'rank': 0.0165}
{'reviewerId': 'RjaLd1MuAYlwZkRG3lxczQ', 'rank': 0.0278}
{'reviewerId': 'Op1d1btEf1B8RokwZLBZvQ', 'rank': 0.0278}
{'reviewerId': '2_akhj1xajjbNQcZKnRmgQ', 'rank': 0.0377}
{'reviewerId': 'AhVWzMyXqHibkdr4uHo2kQ', 'rank': 0.0377}
{'reviewerId': 'cT0xyr130ZUpEcj8L7Hjxw', 'rank': 0.04}
{'reviewerId': 'aaQwSadw-KJCzLT0WcBrwg', 'rank': 0.04}
{'reviewerId': 'lrMmvkfLbx2YZkiJwNs4ow', 'rank': 0.04}
{'reviewerId': 'rQZGlA0Ig5qnSlQR_zrFDA', 'rank': 0.04}
{'reviewerId': 'G5LXEaxhQMF_BVjNHkVr7g', 'rank': 0.04}
{'reviewerId': '_RzvqL0qKwnhth-9lxJMOg', 'rank': 0.04}
{'reviewerId': 'B4cJvWuf59j7XlTdexnVZw', 'rank': 0.04}
{'reviewerId': 'oazvcz5RmMOCuTeGjtCRSQ', 'rank': 0.0525}
{'reviewerId': 'B_n1dqlys5u302n0YUn5NA', 'rank': 0.0525}
{'reviewerId': 'HLaSqQMDVvlcFPGJL_kGCA', 'rank': 0.0525}
{'reviewerId': '3MYdpmHeNwC6FquRWi3YOg', 'rank': 0.0525}
{'reviewerId': 'p8w_DRU96tNeK6xL8dcptg', 'rank': 0.0525}
{'reviewerId': 'ikLJ4WdFhOtzaQ97llo_RA', 'rank': 0.0525}
{'reviewerId': 'xVVpNJwIRT65wLvXWTsciA', 'rank': 0.0525}
{'reviewerId': 'ujcpbqQAcoJJX5Ozw-Lc8A', 'rank': 0.0525}
{'reviewerId': 'RU7bd3h2f6pBlf8BfAyxGQ', 'rank': 0.0525}
